Columna,Total de únicos,Cardinalidad,Cardinalidad (%),Tipo_dato
league,23,0.004735433395099856,0.4735433395099856,Categórico
playoffs,2,0.00041177681696520483,0.04117768169652048,Binario
date,4745,0.9769404982499486,97.69404982499485,Date
game,5,0.0010294420424130121,0.10294420424130121,Ordinal
patch,16,0.0032942145357216387,0.32942145357216385,Ordinal
gamelength,1355,0.2789787934939263,27.89787934939263,Temporal
blue_playerid,244,0.050236771669754994,5.023677166975499,Categótico
result,2,0.00041177681696520483,0.04117768169652048,Binario
firstblood,2,0.00041177681696520483,0.04117768169652048,Binario
firstdragon,2,0.00041177681696520483,0.04117768169652048,Binario
blue_dragons,7,0.001441218859378217,0.1441218859378217,Numérico
blue_elementaldrakes,5,0.0010294420424130121,0.10294420424130121,Numérico
blue_infernals,5,0.0010294420424130121,0.10294420424130121,Numérico
blue_mountains,5,0.0010294420424130121,0.10294420424130121,Numérico
blue_clouds,5,0.0010294420424130121,0.10294420424130121,Numérico
blue_oceans,5,0.0010294420424130121,0.10294420424130121,Numérico
blue_elders,3,0.0006176652254478073,0.06176652254478073,Numérico
firstherald,2,0.00041177681696520483,0.04117768169652048,Binario
blue_heralds,3,0.0006176652254478073,0.06176652254478073,Numérico
firstbaron,2,0.00041177681696520483,0.04117768169652048,Binario
blue_barons,5,0.0010294420424130121,0.10294420424130121,Numérico
firsttower,2,0.00041177681696520483,0.04117768169652048,Binario
blue_towers,12,0.0024706609017912293,0.24706609017912293,Numérico
firstmidtower,2,0.00041177681696520483,0.04117768169652048,Binario
firsttothreetowers,2,0.00041177681696520483,0.04117768169652048,Binario
blue_inhibitors,8,0.0016471072678608193,0.16471072678608192,Numérico
red_playerid,244,0.050236771669754994,5.023677166975499,Categórico
red_dragons,8,0.0016471072678608193,0.16471072678608192,Numérico
red_elementaldrakes,5,0.0010294420424130121,0.10294420424130121,Numérico
red_infernals,5,0.0010294420424130121,0.10294420424130121,Numérico
red_mountains,5,0.0010294420424130121,0.10294420424130121,Numérico
red_clouds,5,0.0010294420424130121,0.10294420424130121,Numérico
red_oceans,5,0.0010294420424130121,0.10294420424130121,Numérico
red_elders,4,0.0008235536339304097,0.08235536339304096,Numérico
red_heralds,3,0.0006176652254478073,0.06176652254478073,Numérico
red_barons,5,0.0010294420424130121,0.10294420424130121,Numérico
red_towers,12,0.0024706609017912293,0.24706609017912293,Numérico
red_inhibitors,8,0.0016471072678608193,0.16471072678608192,Numérico
blue_totalgold,4551,0.9369981470043237,93.69981470043237,Numérico
blue_earnedgold,4421,0.9102326539015854,91.02326539015854,Numérico
blue_spentgold,3580,0.7370805023677167,73.70805023677167,Numérico
blue_goldat10,2597,0.5346921968293185,53.46921968293184,Numérico
blue_goldat15,3424,0.7049619106444307,70.49619106444307,Numérico
red_totalgold,4560,0.938851142680667,93.8851142680667,Numérico
red_earnedgold,4444,0.9149680872966852,91.49680872966852,Numérico
red_spentgold,3691,0.7599341157092856,75.99341157092856,Numérico
red_goldat10,2534,0.5217212270949145,52.172122709491454,Numérico
red_goldat15,3322,0.6839612929792053,68.39612929792052,Numérico
blue_totalgold_diff,4423,0.9106444307185505,91.06444307185505,Numérico
red_totalgold_diff,4423,0.9106444307185505,91.06444307185505,Numérico
blue_earnedgold_diff,4423,0.9106444307185505,91.06444307185505,Numérico
red_earnedgold_diff,4423,0.9106444307185505,91.06444307185505,Numérico
blue_spentgold_diff,3966,0.8165534280420013,81.65534280420013,Numérico
red_spentgold_diff,3966,0.8165534280420013,81.65534280420013,Numérico
blue_gold_diffat10,3167,0.6520485896644019,65.2048589664402,Numérico
red_gold_diffat10,3167,0.6520485896644019,65.2048589664402,Numérico
blue_gold_diffat15,3839,0.7904056001647107,79.04056001647108,Numérico
red_gold_diffat15,3839,0.7904056001647107,79.04056001647108,Numérico
